fecha,hora,estado,cdr_ars,cdr_var_pct,cdr_cierre_prev,cdr_min,cdr_max,volumen_nominal,nvda_usd,nvda_var_pct,nvda_cierre_prev,ccl_implicito,valor_pos_ars,pnl_ars,pnl_pct,valor_pos_usd,nota
2026-08-10,18:41,cierre,14370,-2.18,14690,14300,14790,493746,217.55,-2.86,223.96,1585.29,57480,-160,-0.28,36.26,"Cierre real del dia de compra y primer registro definitivo. NVIDIA cayo 2,86% en Nueva York (217,55 USD desde 223,96) y el dolar CCL implicito subio apenas 0,70% (1.585,29): esta vez el dolar casi no ayudo y el CDR quedo en 14.370 (-2,18% contra el cierre anterior de 14.690). Descomposicion: 0,9714 x 1,0070 = 0,9782, cierra con margen mejor que 0,01 puntos porcentuales. En papel Francisco ve -160 ARS (-0,28% sobre lo pagado) y descontando la comision de venta el resultado real es -914 ARS (-1,58%). Cerro por debajo del punto de equilibrio (14.600) el mismo dia que compro: le falta subir 1,6% para empatar. Ningun disparador cerca: para tomar ganancia (+20% real) falta 21,9% hasta 17.520, para cortar perdida (-15% real) falta -13,6% hasta 12.410. Esta fila reemplaza la intradiaria de las 16:50, que capturo el cierre mientras la rueda todavia estaba abierta con precio 14.700; el cierre definitivo se acomodo mas abajo."
2026-08-11,17:57,cierre,14410,0.28,14370,14370,14670,105524,217.50,-0.02,217.55,1590.07,57640,0,0.00,36.25,"Segundo dia y giro chico: el CDR recupero los 40 pesos que habia perdido ayer. NVIDIA cerro practicamente empatada en Nueva York (217,50 USD, -0,02% desde 217,55) y el dolar CCL implicito subio 0,30% (de 1.585,29 a 1.590,07): esta vez todo el movimiento vino del dolar. Descomposicion: 0,9998 x 1,0030 = 1,0028, cierra clavada con el +0,28% del CDR. Francisco quedo EXACTAMENTE al precio de compra: en papel su posicion vale 57.640 (0 ARS, 0%), pero descontando la comision de venta el resultado real es -755 ARS (-1,30%). Sigue por debajo del punto de equilibrio (14.600): le falta subir 1,32% para empatar de verdad. Ningun disparador cerca: para tomar ganancia (+20% real) falta 21,58% hasta 17.520, para cortar perdida (-15% real) falta -13,88% hasta 12.410. Volumen bajo (105.524 nominales, un quinto del de ayer): rueda tranquila, sin la presion vendedora del lunes. Coincidencias del dia: el cierre coincidio con el precio de compra y el minimo del dia coincidio con el cierre anterior."
2026-08-12,17:36,cierre,14820,2.85,14410,14460,14850,443660,224.09,3.03,217.50,1587.04,59280,1640,2.85,37.35,"Tercer dia y PRIMER CIERRE EN POSITIVO REAL. El CDR salto a 14.820 (+2,85% contra el cierre de ayer 14.410; Rava muestra +3,20% porque usa 14.360 como base propia, se recalcula la variacion desde el registro interno). NVIDIA subio 3,03% en Nueva York (224,09 USD desde 217,50) y el dolar CCL implicito bajo 0,19% (de 1.590,07 a 1.587,04): esta vez todo el empujon vino de NVIDIA y el dolar hasta jugo levemente en contra. Descomposicion: 1,0303 x 0,9981 = 1,0283, cierra clavada con el +2,85% observado (margen 0,00 pp). Es el caso inverso al de ayer. Francisco CRUZA el punto de equilibrio (14.600) por primera vez: quedo 220 pesos por encima. En papel ve +1.640 ARS (+2,85%) y descontando la comision de venta el resultado real es +874 ARS (+1,51%). Volumen 443.660 nominales, cuatro veces el de ayer: rueda activa, con presion compradora. Rango: minimo 14.460 (arriba del cierre anterior 14.410, o sea que abrio arriba y no volvio a bajar al nivel de ayer) y maximo 14.850, cerro a 30 pesos del maximo. Ningun disparador cerca: para tomar ganancia (+20% real) falta 18,22% hasta 17.520, para cortar perdida (-15% real) falta -16,26% hasta 12.410. Faltan 14 dias para el balance de NVIDIA del 26/08. Manana (13/08) publica el INDEC el IPC de julio: actualizar el bloque de inflacion."
2026-08-13,17:37,cierre,14850,0.20,14820,14790,15030,282867,225.30,0.54,224.09,1581.89,59400,1760,3.05,37.55,"Cuarto dia y suma chiquita en positivo, con el segundo cierre por encima del punto de equilibrio. El CDR sumo 30 pesos a 14.850 (+0,20% contra el cierre de ayer 14.820). NVIDIA subio 0,54% en Nueva York (225,30 USD desde 224,09; Google Finance mostro 0,00% de variacion, pero es incoherente con sus propios precios (1,21 USD de diferencia), se recalcula desde los precios) y el dolar CCL implicito bajo 0,32% (de 1.587,04 a 1.581,89): dia calmo, con los dos motores movidos poco y en direcciones opuestas. Descomposicion: 1,0054 x 0,9968 = 1,0021, cierra clavada con el +0,20% observado (margen 0,01 pp). Francisco sigue por ENCIMA del punto de equilibrio (14.600): quedo 250 pesos por arriba. En papel ve +1.760 ARS (+3,05%) y descontando la comision de venta el resultado real es +993 ARS (+1,71%), el mejor resultado real desde que compro. Volumen 282.867 nominales, dos tercios del de ayer: rueda mas tranquila, sin la presion compradora del miercoles. Rango: minimo 14.790 (30 pesos abajo del cierre anterior 14.820) y maximo 15.030 (primer registro por encima de 15.000), cerro cerca del piso del rango a 180 pesos del techo. Ningun disparador cerca: para tomar ganancia (+20% real) falta 17,98% hasta 17.520, para cortar perdida (-15% real) falta -16,43% hasta 12.410. Hoy publica INDEC el IPC de julio: cuando salga hay que actualizar el bloque meta.inflacion de posicion.json y recalcular la meta nominal. Faltan 13 dias para el balance de NVIDIA del 26/08."
2026-08-14,17:00,cierre,14760,-0.61,14850,14730,15000,269476,225.16,-0.06,225.30,1573.28,59040,1400,2.43,37.53,"Rueda RECUPERADA A MANO el 17/08: la corrida automatica del viernes no se ejecuto porque la computadora estaba apagada. Precios del CDR tomados de la ficha de Rava y cierre de NVIDIA de StockAnalysis; ningun dato fue estimado. Dia tranquilo en los dos motores: NVIDIA casi no se movio (-0,06% a 225,16 USD) y el CCL implicito cedio 0,54% (1.573,28), asi que el CDR bajo 0,61% hasta 14.760. Control de coherencia: 0,9994 x 0,99456 = 0,99396, o sea -0,60%, consistente con el -0,61% publicado. Resultado real de Francisco: +636 ARS (+1,10%), comodo por encima del punto de equilibrio de 14.600."
2026-08-18,17:16,cierre,14420,-2.30,14760,14380,14590,367491,219.74,-2.41,225.16,1574.95,57680,40,0.07,36.62,"Cierre de la primera rueda post feriado (17/08 San Martin, sin rueda en BYMA aunque NYSE si opero). El CDR cerro en 14.420 (-2,30% contra el cierre del viernes 14/08 de 14.760); el precio se mantuvo cerca del piso del rango durante toda la tarde y termino apenas 40 pesos arriba del minimo. NVIDIA cedio 2,41% en Nueva York (219,74 USD desde 225,16 del 14/08). Google Finance mostro -0,23% para hoy porque compara contra su propio cierre del lunes 17/08 en 225,01, pero esa variacion no es coherente con nuestro cierre AR anterior; StockAnalysis muestra el -2,34% consolidado desde el viernes y aca se toma la variacion recalculada -2,41% (219,74/225,16 - 1) para alinear los dos motores contra la misma base. El dolar CCL implicito casi no se movio: subio apenas 0,11% (de 1.573,28 a 1.574,95). Todo el ajuste vino del lado de NVIDIA. Descomposicion: 0,97592 x 1,00106 = 0,97696 = -2,30%, cierra clavada con el -2,30% observado (margen 0,00 pp). Francisco VOLVIO A CAER por debajo del punto de equilibrio (14.600): quedo 180 pesos abajo despues de tres cierres consecutivos por arriba. En papel ve +40 ARS (+0,07%, practicamente empatado con lo pagado por los 4 CDR) pero descontando la comision de venta el resultado real es -715 ARS (-1,23%). Rango del dia estrecho: minimo 14.380 y maximo 14.590 (el cierre previo de 14.760 quedo 170 pesos ARRIBA del techo del dia, o sea que ni siquiera se acerco al nivel del viernes). Volumen 367.491 nominales, 36% mas que el 14/08 y por encima del promedio de la semana: rueda activa, con presion vendedora firme durante toda la sesion. Distancia a los disparadores: al alza faltan 21,5% hasta 17.520, a la baja -13,9% hasta 12.410. Faltan 8 dias para el balance de NVIDIA del 26/08. Esta fila reemplaza la intradiaria de las 13:04, que capturo el mercado con precio 14.460; al cierre el CDR aflojo 40 pesos mas."
2026-08-19,17:37,cierre,14340,-0.55,14420,14270,14630,260922,217.56,-0.99,219.74,1581.68,57360,-280,-0.49,36.26,"Segunda rueda de baja seguida y el rojo se afirma. El CDR cerro en 14.340 (-0,55% contra el cierre de ayer 14.420; Rava muestra -0,62% pero esa variacion no es coherente con sus propios precios (14340/14420 - 1 = -0,55%), se recalcula desde los precios y se toma el -0,55% aca). NVIDIA cedio 0,99% en Nueva York (217,56 USD desde 219,74) y el dolar CCL implicito subio 0,43% (de 1.574,95 a 1.581,68). Los dos motores tiraron en direcciones opuestas: NVIDIA marco la baja y el dolar amortiguo apenas un poco. Descomposicion: 0,99008 x 1,00427 = 0,99431 = -0,57%, cierra con margen 0,02 pp respecto del -0,55% observado. Francisco sigue POR DEBAJO del punto de equilibrio (14.600), ahora 260 pesos abajo (80 mas que ayer). En papel ve -280 ARS (-0,49%) y descontando la comision de venta el resultado real es -1.033 ARS (-1,78%), la peor lectura desde el dia de compra. Rango del dia: minimo 14.270 y maximo 14.630, cerro cerca del piso a 70 pesos del minimo (arriba del cierre previo de 14.420 apenas 210 pesos en el maximo). Volumen 260.922 nominales, 29% menos que ayer: rueda mas tranquila pero con sesgo vendedor durante toda la tarde. Distancia a los disparadores: al alza faltan 22,2% hasta 17.520, a la baja -13,5% hasta 12.410. Faltan 7 dias para el balance de NVIDIA del 26/08 - la fecha se acerca y NVIDIA acumula tres cierres en baja desde el jueves pasado."
2026-08-20,17:38,cierre,14330,-0.07,14340,14230,14470,229680,216.85,-0.33,217.56,1585.98,57320,-320,-0.56,36.14,"Tercera rueda seguida por debajo del punto de equilibrio pero la sesion fue casi plana. El CDR cerro en 14.330 (-0,07% contra el cierre de ayer 14.340). NVIDIA cedio 0,33% en Nueva York (216,85 USD desde 217,56) y el dolar CCL implicito subio 0,27% (de 1.581,68 a 1.585,98): los dos motores tiraron en direcciones opuestas y practicamente se cancelaron. Descomposicion: 0,99674 x 1,00272 = 0,99946 = -0,05%, cierra con margen 0,02 pp respecto del -0,07% observado. Francisco sigue POR DEBAJO del punto de equilibrio (14.600), ahora 270 pesos abajo (apenas 10 mas que ayer). En papel ve -320 ARS (-0,56%) y descontando la comision de venta el resultado real es -1.073 ARS (-1,85%), un poco peor que ayer y la peor lectura desde el dia de compra por segundo dia seguido. Rango del dia: minimo 14.230 y maximo 14.470 (240 pesos de amplitud, el rango mas estrecho desde el 11/08), cerro cerca del piso a 100 pesos del minimo. El precio de compra (14.410) y el cierre de ayer (14.340) quedaron ambos ARRIBA del cierre de hoy. Volumen 229.680 nominales, 12% menos que ayer y el mas bajo desde el 11/08: rueda floja, sin volumen para empujar el precio en ningun sentido. Distancia a los disparadores: al alza faltan 22,3% hasta 17.520, a la baja -13,4% hasta 12.410. Faltan 6 dias para el balance de NVIDIA del 26/08 - NVIDIA acumula cuatro cierres consecutivos en baja desde el jueves pasado (225,16 -> 219,74 -> 217,56 -> 216,85)."
2026-08-21,17:37,cierre,14280,-0.35,14330,14180,14450,404506,214.72,-0.98,216.85,1596.13,57120,-520,-0.90,35.79,"Cierre del viernes 21/08 y CUARTA rueda seguida por debajo del punto de equilibrio, la peor lectura desde la compra por CUARTO dia consecutivo en profundizacion. El CDR cerro en 14.280 (-0,35% contra el cierre de ayer 14.330). NVIDIA cedio 0,98% en Nueva York (214,72 USD desde 216,85), sumando QUINTA baja seguida desde el jueves 14/08 (225,16 -> 219,74 -> 217,56 -> 216,85 -> 214,72). El dolar CCL implicito subio 0,64% (de 1.585,98 a 1.596,13), amortiguo parte de la baja de NVIDIA. Descomposicion: 0,99018 x 1,00640 = 0,99652 = -0,35%, cierra clavada con el -0,35% observado (margen 0,00 pp). Francisco sigue POR DEBAJO del punto de equilibrio (14.600), ahora 320 pesos abajo (50 mas que ayer). En papel ve -520 ARS (-0,90%) y descontando la comision de venta el resultado real es -1.272 ARS (-2,19%), la peor lectura desde el dia de compra por cuarto dia seguido en profundizacion. Volumen 404.506 nominales, 76% mas que ayer y el mas alto desde el 18/08: rueda mucho mas activa, con presion vendedora firme. Rango del dia: minimo 14.180 (mas abajo que la intra de las 11:19 que tocaba 14.230 como piso) y maximo 14.450, 270 pesos de amplitud, cerro a 100 pesos del piso y 170 del techo. Distancia a los disparadores: al alza faltan 22,69% hasta 17.520, a la baja -13,10% hasta 12.410. Faltan 5 dias para el balance de NVIDIA del 26/08 - la fecha se acerca y NVIDIA llega con cinco cierres consecutivos en baja. Esta fila reemplaza la intradiaria de las 11:19, que capturo el mercado con precio 14.230 (-0,70%); al cierre el CDR se acomodo 50 pesos mas arriba pero aun asi termino por debajo del cierre de ayer."
2026-08-24,17:45,cierre,13890,-2.73,14280,13850,14330,630273,208.48,-2.91,214.72,1599.00,55560,-2080,-3.61,34.75,"Primera rueda de la semana previa al balance de NVIDIA (26/08) y QUINTA rueda seguida por debajo del punto de equilibrio, con volumen. El CDR cerro en 13.890 (-2,73% contra el cierre del viernes 14.280) - la mayor baja diaria desde el 18/08 (-2,30%) y el primer cierre por debajo de 14.000 desde la compra. NVIDIA cedio 2,91% en Nueva York (208,48 USD desde 214,72), sumando SEXTA baja consecutiva desde el jueves 14/08 (225,16 -> 219,74 -> 217,56 -> 216,85 -> 214,72 -> 208,48) y la mas grande del hilo. El dolar CCL implicito practicamente no se movio: subio 0,18% (de 1.596,13 a 1.599,00). Todo el ajuste vino del lado de NVIDIA. Descomposicion: 0,97094 x 1,00180 = 0,97269 = -2,73%, cierra clavada con el -2,73% observado (margen 0,00 pp). Francisco sigue POR DEBAJO del punto de equilibrio (14.600), ahora 710 pesos abajo (390 mas que el viernes) y el resultado real trepa a -2.821 ARS (-4,86%), la peor foto desde el dia de compra por quinto dia seguido en profundizacion. En papel ve -2.080 ARS (-3,61%). El precio de compra (14.410) quedo POR ENCIMA del maximo del dia de hoy (14.330). Rango del dia: minimo 13.850 y maximo 14.330 (justo el cierre del viernes - el maximo se toco al inicio y despues solo bajo), 480 pesos de amplitud, cerro cerca del piso a 40 pesos del minimo. Volumen 630.273 nominales, 56% mas que el viernes y el mas alto del mes: rueda muy activa con presion vendedora firme durante toda la sesion. Distancia a los disparadores: al alza faltan 26,13% hasta 17.520, a la baja SOLO -10,66% hasta 12.410 (el viernes eran -13,10%: se acorto 244 puntos basicos en un solo dia). Faltan 2 dias para el balance del 26/08 y NVIDIA llega con seis cierres consecutivos en baja - la fecha va a marcar el proximo tramo del plan."
